"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.560679415E2,6.503737500E1,2.555402667E1,1.172156113E1,1.599756718E0,2.451799927E2,1.700000048E0,1.089999962E1
1.570679415E2,6.503736333E1,2.555399500E1,1.172156782E1,1.624463320E0,2.418800049E2,1.600000024E0,1.110000038E1
1.580679415E2,6.503735000E1,2.555396667E1,1.172157470E1,1.651228905E0,2.483999939E2,1.700000048E0,1.089999962E1
1.590679415E2,6.503734167E1,2.555393167E1,1.162158067E1,1.667185307E0,2.402299957E2,1.700000048E0,1.100000000E1
1.600679415E2,6.503732833E1,2.555389500E1,1.172158835E1,1.675935507E0,2.317799988E2,1.600000024E0,1.089999962E1
1.610679415E2,6.503732000E1,2.555387500E1,1.192159288E1,1.634757757E0,2.441799927E2,1.600000024E0,1.089999962E1
1.620679415E2,6.503731000E1,2.555385333E1,1.212159808E1,1.663067460E0,2.340899963E2,1.600000024E0,1.100000000E1
1.630679415E2,6.503729667E1,2.555382500E1,1.242160496E1,1.665641069E0,2.304199982E2,1.600000024E0,1.100000000E1
1.640679415E2,6.503728833E1,2.555379833E1,1.252161013E1,1.601300836E0,2.380800018E2,1.600000024E0,1.119999981E1
1.650679415E2,6.503727667E1,2.555376833E1,1.202161666E1,1.602844954E0,2.397700043E2,1.600000024E0,1.150000000E1
1.660679415E2,6.503726833E1,2.555373167E1,1.172162279E1,1.634243011E0,2.387400055E2,1.700000048E0,1.130000019E1
1.670679415E2,6.503725667E1,2.555370000E1,1.142162948E1,1.608506918E0,2.533500061E2,1.700000048E0,1.119999981E1
1.680679415E2,6.503725000E1,2.555366167E1,1.092163526E1,1.631154776E0,2.397299957E2,1.700000048E0,1.130000019E1
1.690679415E2,6.503723333E1,2.555363667E1,1.062164286E1,1.631154776E0,2.315299988E2,1.700000048E0,1.150000000E1
1.700679415E2,6.503721667E1,2.555361000E1,1.062165063E1,1.636301994E0,2.386999969E2,1.700000048E0,1.139999962E1
